url,Perfume,Brand,Gender,Rating,Decade,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
https://www.fragrantica.com/perfume/paco-rabanne/strong-me-55189.html,Strong Me,Paco Rabanne,unisex,3.74,2010s,"plum, liquor","metallic notes, davana","vanilla, amberwood",vanilla,fruity,sweet,amber,alcohol
https://www.fragrantica.com/perfume/roberto-cavalli/roberto-cavalli-la-notte-51655.html,Roberto Cavalli La Notte,Roberto Cavalli,female,4.07,2010s,"pink pepper, mandarin orange","raspberry, liquor, orange blossom","vanilla, amber, patchouli",sweet,fruity,vanilla,amber,alcohol
https://www.fragrantica.com/perfume/escada/flor-del-sol-58398.html,Flor Del Sol,Escada,female,3.88,2020s,"grenadine, tequila, orange",dahlia,sandalwood,fruity,aromatic,sweet,citrus,alcohol
https://www.fragrantica.com/perfume/la-rive/just-on-time-62640.html,Just On Time,La Rive,male,3.88,2010s,"grass tree, teak wood, cedar","liquor, myrrh, amber, musk, incense","vanilla, lemon, ginger, cinnamon, thyme",amber,warm spicy,vanilla,citrus,alcohol
https://www.fragrantica.com/perfume/azzaro/the-most-wanted-intense-90953.html,The Most Wanted Intense,Azzaro,male,4.03,2020s,bergamot,lavender,"liquor, moss",citrus,lavender,mossy,fresh spicy,alcohol
https://www.fragrantica.com/perfume/bohoboco/wet-cherry-liquor-74151.html,Wet Cherry Liquor,Bohoboco,unisex,3.97,2020s,"cherry, liquor","cherry, strawberry, caramel, turkish rose","tonka bean, vanilla, sandalwood, vetiver",sweet,cherry,vanilla,fruity,alcohol
https://www.fragrantica.com/perfume/testament-london/sang-noir-56593.html,Sang Noir,Testament London,unisex,4.14,2010s,"nutmeg, saffron, cloves, cumin","agarwood, sandalwood, patchouli, labdanum, vetyver","liquor, ambergris, beeswax, rhum agricole, vanilla, fenugreek",warm spicy,fresh spicy,woody,oud,alcohol
https://www.fragrantica.com/perfume/trussardi/i-vicoli-via-fiori-chiari-59830.html,I Vicoli Via Fiori Chiari,Trussardi,unisex,4.09,2020s,"guatemalan cardamom, star anise, italian lemon","marigold, elemi, black pepper, patchouli","liquor, madagascar vanilla",aromatic,balsamic,fresh spicy,warm spicy,alcohol
https://www.fragrantica.com/perfume/in-the-box/hall-ury-sport-64590.html,Hall Ury Sport,In The Box,male,3.83,2010s,"aldehydes, sea notes, tangerine, orange","neroli, cedar, pepper","tonka bean, vanilla, white musk, elemi, resins, amber, vetiver",citrus,vanilla,aromatic,amber,aldehydic
https://www.fragrantica.com/perfume/robert-piguet/baghari-45025.html,Baghari,Robert Piguet,female,4.17,1950s,"aldehydes, bergamot, orange blossom, lemon","bourbon vetiver, rose, lilac, jasmine, ylang-ylang, lily-of-the-valley","musk, benzoin, amber, vanilla",white floral,citrus,fresh,amber,aldehydic
